Headline,Compound
Charles Barkley rants about Black people wearing Donald Trump mugshot shirts again: 'Freaking idiot',-0.8126
Governor triggers outrage by axing bill that would allow arrest of illegal border crossers,-0.8126
‘He just cheated off everybody else’: Barkley teases Obama over his March Madness bracket,-0.8126
Attorney’s office moves to block judge from criminal trials over 'biased rulings',-0.8126
‘I don’t sleep’: Violent crime surge pushed burglarized business owner to launch recall campaign against Dem,-0.8126
Two Irish friends died of fentanyl poisoning in Florida. Authorities say the wrong one was cremated,-0.8126
NASCAR star Tyler Reddick laments 'stupid mistakes on pit road' after 2nd-place finish at Las Vegas,-0.8126
GOP lawmaker behind Florida defamation bill says critics are wrong: 'Nothing in this bill' hurts conservatives,-0.8126
GOP lawmaker behind Florida defamation bill says critics are wrong: 'Nothing in this bill' hurts conservatives,-0.8126
‘I don’t sleep’: Violent crime surge pushed burglarized business owner to launch recall campaign against Dem,-0.8126
"Belgium to disband military platoon due to serious violence and harassment, defense minister says",-0.8126
Iditarod musher penalized for improperly gutting moose after killing animal when it attacked dogs,-0.8126
California DA warns thieves to stay away or else: 'We’re throwing the book at criminals',-0.8126
California DA warns would-be thieves to stay away or else: 'We’re throwing the book at criminals',-0.8126
8 militants dead after Pakistan fends off separatist attack near China-funded port,-0.8126
‘I don’t sleep’: Violent crime surge pushed burglarized business owner to launch recall campaign against Dem,-0.8126
Child star says he suffered sexual abuse at Nickelodeon,-0.8126
NASCAR star Tyler Reddick laments 'stupid mistakes on pit road' after 2nd-place finish at Las Vegas,-0.8126
Toronto police advise locals to leave car keys near front doors to avoid problems with thieves,-0.8126
Iraqi immigrant plotted to smuggle assassins through Mexico to kill former US president: docs,-0.8074
Haiti unrest: essential items for children stolen from UNICEF amid ongoing gang violence,-0.8074
"The Covid-19 pandemic killed off one strain of the flu, and that will change the next vaccines",-0.8074
Ex-Georgia player sentenced to 30 years in prison for shooting death of gas station employee,-0.8074
Wisconsin father arrested for child abuse after claiming newborn son was hit by an iPad,-0.8074
NHL Team Offends Social Media Softies With Picture Of Dead Animal,-0.8074
Ex-Georgia wide receiver sentenced to 30 years in prison for shooting death of gas station employee,-0.8074
Appeals court denies former Trump adviser’s bid to avoid reporting to prison next week,-0.8074
"Illinois sheriff's K-9 injured during arrest of 16-year-old who crashed stolen car, authorities say",-0.8074
"Grisly teen murder case shocks China, shines a light on ‘left behind’ children",-0.8074
"Woman rejects 'worst name ever' for child, pleads with others for 'sanity' check",-0.8074
Rogan mocks Newsom as a 'complete crazy person' trying to fool voters,-0.8074
Rogan mocks Newsom as a 'complete crazy person' trying to fool voters,-0.8074
Timberwolves Analyst Fired After Stealing Information From Exec,-0.8074
William Shatner shares his biggest regret from Hollywood career: 'I failed horribly',-0.8074
Boise airport hangar collapse had unheard concerns from workers day before deadly disaster,-0.8074
"The Covid-19 pandemic killed off one strain of the flu, and that will change the next vaccines",-0.8074
William Shatner shares his biggest regret from Hollywood career: 'I failed horribly',-0.8074
Grisly teen murder case shocks China and shines a light on ‘left behind’ children,-0.8074
"Carrie Underwood Has Her Fastball At 41, Trump Mocks Biden With Snapchat & Lost Plane Wheel Crushes A Car",-0.802
"UK-owned ship struck by Houthis sinks, first vessel lost during war",-0.802
Embattled Wisconsin prison reports fourth inmate death since June,-0.802
Paul Whelan tells CNN that Navalny’s death in prison is ‘extremely worrying’ for him,-0.802
Former Mississippi officers get 10 to 40 years in prison for torture of 2 Black men,-0.802
Keith Olbermann sparks outrage by hinting at Trump assassination,-0.802
Conservative actress fired from Disney blasts 'unforgivable sin in Hollywood',-0.802
"Five people killed in single-engine plane crash in Nashville, officials say",-0.802
"Five people killed in single-engine plane crash in Nashville, officials say",-0.802
WATCH LIVE: Will Cain and Matt Kibbe discuss illegal immigration and TikTok ban,-0.802
Former NFL executive accused of assaulting neighbor in dispute over farm equipment,-0.802
Mira Sorvino laments how Harvey Weinstein 'stifled' her career after she 'rejected him',-0.802
Mira Sorvino laments how Harvey Weinstein 'stifled' her career after she 'rejected him',-0.802
NY official sues Letitia James after AG said ban on trans athletes in girls sports is 'illegal',-0.802
New York lawmaker looking to repeal state law from 1907 that technically makes cheating on spouse illegal,-0.802
Massachusetts police arrest man living in hotel housing migrants after allegedly raping teenage girl,-0.802
Detectives crack cold case once linked to notorious serial killer BTK,-0.802
Dem looking to repeal 1907 law that technically makes cheating on spouse illegal,-0.802
Identical twins allegedly traded places after 2 Amish children killed in crash,-0.802
Key port terminal broken into as violence grips Haiti,-0.802
"Michigan man pleads guilty to kidnapping, killing 2-year-old",-0.802
New York lawmaker looking to repeal state law from 1907 that technically makes cheating on spouse illegal,-0.802
Man found guilty of killing a Chicago police officer and wounding another,-0.802
Debris from Austin homeless encampment falls into creek as crisis worsens,-0.802
Mike Tyson criticized for 'fake' training video ahead of Jake Paul fight,-0.802
"Several people killed in single-engine plane crash in Nashville, officials say",-0.802
"Dangerous Midwest storms Thursday to expand into South with threat of tornadoes, large hail, damaging winds",-0.802
Peru arrests an Iranian man accused of planning an attack on an Israeli citizen,-0.802
Police arrest man living in hotel housing migrants after allegedly raping teenage girl,-0.802
Police identify 15-year-old boy killed in Florida boat crash,-0.802
